name,price,link,genre,record_label,record_country,record_cat,record_grade,sleeve_grade,record_info
Harry Belafonte - Calypso (Vinyle Usagé),$11.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382667-harry-belafonte-calypso,  Vocal Homme   ,  RCA Victor   ,  USA   ,  LPM 1248 RCA Victor   ,  VG+  ,  NM ,  Original Mono   
Haydn / Schubert / Cortot / Thibaud / Casals - Trio No 1 / Trio No 1 (Vinyle Usagé),$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382480-haydn-schubert-cortot-thibaud-casals-trio-no-1-trio-no-1,  Classique   ,  Angel Records   ,  USA   ,  COLH 12   ,  VG+  ,  VG+ ,  Presse en Angleterre / Pochette avec Goujon   
Helen Shapiro - 12 Hits And A Miss (Vinyle Usagé),$11.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382710-helen-shapiro-12-hits-and-a-miss,  Vocal Femme   ,  Capitol   ,  Canada   ,  T 6030   ,  NM  ,  VG+ ,
Highwaymen - The Highwaymen (Vinyle Usagé),$1.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382768-highwaymen-the-highwaymen,  Folk   ,  United Artists   ,  USA   ,  UAS 6125   ,  VG  ,  VG+ ,
Hollies - Romany (Vinyle Usagé),$4.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00319969-hollies-romany,  Rock   ,  Epic   ,  Canada   ,  KE 31992   ,  VG+  ,  VG ,  Original avec Label Jaune / Pochette Gatefold   
Hommage aux Beatles - Hommage aux Beatles (Vinyle Usagé),$5.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00037888-hommage-aux-beatles-hommage-aux-beatles,  Rock   ,  Revelation   ,  Canada   ,  KF 154   ,  NM  ,  NM ,  Vinyle Blanc   
If - If (Vinyle Usagé),$9.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382685-if-if,  Rock   ,  Capitol   ,  Canada   ,  ST 539   ,  VG+  ,  EX ,  Label Green Target   
Ink Spots - The Second Album Of Hits By The Ink Spots Volume 2 (Vinyle Usagé),$4.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382780-ink-spots-the-second-album-of-hits-by-the-ink-spots-volume-2,  Funk/Soul   ,  Coronet   ,  USA   ,  CX 105   ,  VG+  ,  NM ,
Inner City Jam Band - Inner City Jam (Mambonique) (Vinyle Usagé),$2.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382668-inner-city-jam-band-inner-city-jam-mambonique,  Disco   ,  Bareback  Inc   ,  USA   ,  BB 12 530   ,  VG+  ,  Generic ,  12   
Jack Greene - What Locks The Door (Vinyle Usagé),$1.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382828-jack-greene-what-locks-the-door,  Country   ,  Decca   ,  Canada   ,  DL 4939   ,  VG+  ,  VG+ ,  Original Mono   
Jacksons - Destiny (Vinyle Usagé),$19.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00008126-jacksons-destiny,  Funk/Soul   ,  Epic   ,  Canada   ,  PE 35552   ,  NM  ,  NM ,  Pochette Gatefold   
James Brown And The Famous Flames - Mighty Instrumentals (Vinyle Usagé),$79.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382584-james-brown-and-the-famous-flames-mighty-instrumentals,  Funk/Soul   ,  King   ,  Canada   ,  KS 961   ,  EX  ,  VG+ ,  Original Stereo   
James Last - Non Stop Dancing 77 (Vinyle Usagé),$2.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382561-james-last-non-stop-dancing-77,  Instrumentale   ,  Polydor   ,  Canada   ,  2371 723   ,  NM  ,  VG+ ,
James Taylor - Sweet Baby James (Vinyle Usagé),$39.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382758-james-taylor-sweet-baby-james,  Rock   ,  Warner Bros   ,  Canada   ,  WS 1843   ,  VG+  ,  VG+ ,  Original / Label Or   
Jean Luc Ponty - Upon the Wings of Music (Vinyle Usagé),$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00132951-jean-luc-ponty-upon-the-wings-of-music,  Jazz   ,  Atlantic   ,  Canada   ,  SD 18138   ,  VG+  ,  VG+ ,
Jeanette MacDonald / Nelson Eddy - Jeanette MacDonald and Nelson Eddy (Vinyle Usagé),$1.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00153536-jeanette-macdonald-nelson-eddy-jeanette-macdonald-and-nelson-eddy,  Vocal Femme   ,  RCA Victor   ,  USA   ,  LPV 526   ,  NM  ,  VG+ ,
Jennifer Warnes - Best of Jennifer Warnes (Vinyle Usagé),$2.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382657-jennifer-warnes-best-of-jennifer-warnes,  Rock   ,  Arista   ,  Canada   ,  AL 9560   ,  VG+  ,  VG+ ,
Jenny Rock - Vol 2 (Vinyle Usagé),$14.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382555-jenny-rock-vol-2,  Francophone   ,  Select   ,  Canada   ,  S 398 088   ,  VG+  ,  NM ,  Stereo   
Jerry Lee Lewis - A Whole Lot Of Shakin (Vinyle Usagé),$11.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382601-jerry-lee-lewis-a-whole-lot-of-shakin,  Rock   ,  Koala   ,  USA   ,  AW 14120   ,  NM  ,  VG+ ,
Jerry Lee Lewis - Country Memories (Vinyle Usagé),$5.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00135174-jerry-lee-lewis-country-memories,  Rock   ,  Mercury   ,  USA   ,  SRM 1 5004   ,  NM  ,  VG+ ,
Jerry Lee Lewis - Duets: Jerry Lee Lewis and Friends (Vinyle Usagé),$5.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00175501-jerry-lee-lewis-duets-jerry-lee-lewis-and-friends,  Rock   ,  Sun   ,  Canada   ,  SUN 1011   ,  NM  ,  VG+ ,  Vinyle Noir   
Jerry Lee Lewis - Greatest Hits (Vinyle Usagé),$11.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382600-jerry-lee-lewis-greatest-hits,  Rock   ,  Sun   ,  USA   ,  RNDF 255   ,  NM  ,  VG+ ,  Picture Disc   
Jerry Lee Lewis - Jerry Lees Greatest (Vinyle Usagé),$34.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00004708-jerry-lee-lewis-jerry-lees-greatest,  Rock   ,  London   ,  Canada   ,  SU 1265   ,  VG+  ,  VG+ ,  Original   
Jerry Lee Lewis - Killer Country (Vinyle Usagé),$7.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382620-jerry-lee-lewis-killer-country,  Rock   ,  Elektra   ,  Canada   ,  X6E 291   ,  NM  ,  VG+ ,
Jerry Lee Lewis - Monsters (Vinyle Usagé),$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00149557-jerry-lee-lewis-monsters,  Rock   ,  Sun   ,  Canada   ,  SUN 124   ,  VG+  ,  VG+ ,
Jerry Lee Lewis - My Fingers Do the Talkin (Vinyle Usagé),$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382619-jerry-lee-lewis-my-fingers-do-the-talkin,  Rock   ,  MCA   ,  Canada   ,  MCA 5387   ,  NM  ,  VG ,
Jerry Lee Lewis - Solid Gold (Vinyle Usagé),$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382613-jerry-lee-lewis-solid-gold,  Rock   ,  Pair   ,  USA   ,  PDL 2 1132   ,  NM  ,  NM ,  2 LP   
Jerry Lee Lewis - The Killer The King (Vinyle Usagé),$17.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382614-jerry-lee-lewis-the-killer-the-king,  Rock   ,  Roller Skate   ,  USA   ,  TLA/SCE 50001   ,  NM  ,  VG+ ,  Vinyle Bleu / Pochette Gatefold   
Jimi Hendrix - Rainbow Bridge (Original Motion Picture Sound Track) (Vinyle Usagé),$17.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382684-jimi-hendrix-rainbow-bridge-original-motion-picture-sound-track,  Rock   ,  Reprise   ,  Canada   ,  MS 2040   ,  VG+  ,  EX ,  Pochette Gatefold   
John Eaton - Electro Vibrations (Vinyle Usagé),$14.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382825-john-eaton-electro-vibrations,  Experimentale   ,  Decca   ,  Canada   ,  DL 710165   ,  VG+  ,  VG+ ,  Original / Label Or   
John Keating And His Band - Swing Revisited (Vinyle Usagé),$4.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382769-john-keating-and-his-band-swing-revisited,  Instrumentale   ,  London   ,  Canada   ,  SP 44034 London Records   ,  VG+  ,  NM ,  Pochette Gatefold   
Johnny Cash / Jeannie C Riley / Jerry Lee Lewis - Sunday After Church (Vinyle Usagé),$2.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382606-johnny-cash-jeannie-c-riley-jerry-lee-lewis-sunday-after-church,  Country   ,  Hilltop   ,  USA   ,  JS 6102   ,  VG  ,  VG+ ,
Johnny Dyani Quartet - Mbizo (Vinyle Usagé),$54.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382723-johnny-dyani-quartet-mbizo,  Jazz   ,  SteepleChase   ,  Germany   ,  SCS 1163   ,  NM  ,  EX ,  Reedition / Pressage Audiophile   
Johnny Hallyday - Rock n Slow (Vinyle Usagé),$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00080881-johnny-hallyday-rock-n-slow,  Francophone   ,  Philips   ,  Canada   ,  6325 170   ,  VG+  ,  VG+ ,
Johnny Mathis - Tender Is The Night (Vinyle Usagé),$5.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382688-johnny-mathis-tender-is-the-night,  Vocal Homme   ,  Mercury   ,  Canada   ,  MG 20890 Mercury   ,  VG+  ,  NM ,  Original Mono   
Judy Singh - A Time For Love (Vinyle Usagé),$14.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382681-judy-singh-a-time-for-love,  Jazz   ,  MajikBus Entertainment   ,  Europe   ,  MB003   ,  NM  ,  NM ,  Reedition 2018   
Julio Iglesias - Sentimental (Vinyle Usagé),$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00323201-julio-iglesias-sentimental,  Vocal Homme   ,  CBS   ,  Canada   ,  PFC 90601   ,  NM  ,  VG+ ,
Julos Beaucarne - L Enfant Qui Veut Vider La Mer (Vinyle Usagé),$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382473-julos-beaucarne-l-enfant-qui-veut-vider-la-mer,  Francophone   ,  RCA Victor   ,  France   ,  FPL 1 7281   ,  VG+  ,  VG+ ,
Kenny Rogers and the First Edition - Ruby Dont Take Your Love to Town (Vinyle Usagé),$9.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00208980-kenny-rogers-and-the-first-edition-ruby-dont-take-your-love-to-town,  Country   ,  Reprise   ,  Canada   ,  RS 6352   ,  VG+  ,  NM ,  Original / Label 3 Couleurs   
Kitty Wells / Red Foley - Golden Favorites (Vinyle Usagé),$1.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382782-kitty-wells-red-foley-golden-favorites,  Country   ,  Decca   ,  Canada   ,  DL 74109   ,  VG+  ,  VG+ ,
Laura Nyro - Gonna Take a Miracle (Vinyle Usagé),$5.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00348089-laura-nyro-gonna-take-a-miracle,  Folk   ,  Columbia   ,  Canada   ,  KC 30987   ,  VG+  ,  VG+ ,  Pressage Fin 70s   
Liona Boyd - A Guitar For Christmas (Vinyle Usagé),$2.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382543-liona-boyd-a-guitar-for-christmas,  Noel   ,  CBS   ,  Canada   ,  FM 37248   ,  VG+  ,  NM ,
Lionel Hampton - Historical Recording Sessions 1939-1941 (Vinyle Usagé),$5.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382579-lionel-hampton-historical-recording-sessions-1939-1941,  Jazz   ,  RCA   ,  France   ,  PM 42417   ,  NM  ,  VG ,  Coffret 3 LP   
Locatelli / I Musici / Michelucci - L Arte Del Violino: Violin Concertos Nos 1 / 8 / 9 (Vinyle Usagé),$2.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382518-locatelli-i-musici-michelucci-l-arte-del-violino-violin-concertos-nos-1-8-9,  Classique   ,  Epic   ,  USA   ,  BC 1155   ,  VG+  ,  VG ,  Stereo   
Los Chacos - Concert Pour Les Andes Volume 6 (Vinyle Usagé),$4.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382812-los-chacos-concert-pour-les-andes-volume-6,  Monde   ,  Barclay   ,  Canada   ,  40070   ,  NM  ,  NM ,
Love Unlimited - White Gold (Vinyle Usagé),$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382559-love-unlimited-white-gold,  Funk/Soul   ,  20th Century   ,  UK   ,  BT 458   ,  VG+  ,  VG+ ,
Luigini / Fistoulari - Ballet Egyptien Suite (Vinyle Usagé),$4.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382525-luigini-fistoulari-ballet-egyptien-suite,  Classique   ,  His Masters Voice   ,  UK   ,  ESD 7115   ,  NM  ,  VG+ ,
